subject,trial,target_slope,el_slope,ah_slope,el_slope_gain,ah_slope_gain
AE01,5,0.5487621183,0.5279499657,0.3651766876,0.9620743636,0.6654553503
,7,-0.5487621183,-0.5059021354,-0.370557314,0.9218969724,0.6752603755
,10,0.5487621183,0.5247602221,0.4153994687,0.9562617473,0.7569754816
,11,-0.5487621183,-0.4918446948,-0.4036178139,0.8962803343,0.7355059697
,13,0.5487621183,0.5971222651,0.3844849936,1.088125884,0.7006405523
,20,-0.5487621183,-0.4518975883,-0.2578817193,0.8234853925,0.4699335299
,21,-0.5487621183,-0.545533687,-0.3145863775,0.994116884,0.5732654771
,23,0.5487621183,0.506214281,0.3023851539,0.9224657901,0.551031392
,26,-0.5487621183,-0.4594796973,-0.1697321102,0.8373021424,0.3092999763
AE03,5,0.5487621183,0.4708312579,0.4510734352,0.8579879008,0.8219835521
,7,-0.5487621183,-0.5153938514,-0.5126155043,0.9391935673,0.934130632
,10,0.5487621183,0.4075967182,0.4030182231,0.7427566602,0.7344133455
,13,0.5487621183,0.5343214358,0.6755725798,0.9736849866,1.231084576
,20,-0.5487621183,-0.4597704027,-0.5181695104,0.83783189,0.9442516041
,21,-0.5487621183,-0.5128530279,-0.5303139171,0.9345634671,0.9663821527
,23,0.5487621183,0.5836648394,0.621272237,1.063602643,1.132133973
,24,0.5487621183,0.5538048238,0.5926831556,1.009189238,1.080036569
,26,-0.5487621183,-0.4831736691,-0.5761493819,0.8804792698,1.049907351
AE04,5,0.5487621183,0.5102689228,0.4580815693,0.9298544958,0.8347543572
,7,-0.5487621183,-0.5104304294,-0.4852762631,0.9301488065,0.8843107915
,10,0.5487621183,0.5341017876,0.5203260138,0.9732847255,0.9481813639
,11,-0.5487621183,-0.5273490867,-0.5551628507,0.9609793919,1.011663947
,13,0.5487621183,0.5862288342,0.571784265,1.068274968,1.041952872
,20,-0.5487621183,-0.4942471997,-0.5150782548,0.9006583787,0.9386184609
,21,-0.5487621183,-0.5464395814,-0.5588326425,0.99576768,1.018351347
,23,0.5487621183,0.5300300859,0.5255568089,0.9658649317,0.9577133541
,24,0.5487621183,0.5163479361,0.5040360404,0.9409321797,0.9184964188
,26,-0.5487621183,-0.4883886858,-0.4844753965,0.8899825072,0.8828513856
AE05,5,0.5487621183,0.5577089292,0.5720737526,1.016303624,1.0424804
,7,-0.5487621183,-0.5001689169,0.1444677628,0.9114494246,-0.2632611799
,10,0.5487621183,0.5551059924,0.3285028782,1.011560335,0.5986252828
,11,-0.5487621183,-0.4950740938,-0.04830997563,0.902165214,0.08803445796
,20,-0.5487621183,-0.4709363097,0.141751111,0.858179335,-0.258310671
,21,-0.5487621183,-0.4786644036,0.03978630715,0.8722621109,-0.07250191992
,23,0.5487621183,0.5107045832,0.3271293148,0.9306483925,0.5961222613
,24,0.5487621183,0.5348223876,0.3434396238,0.9745978628,0.6258442637
,26,-0.5487621183,-0.5286274983,-0.08967096863,0.96330902,0.1634059015
AE06,5,0.5487621183,0.5473704898,0.5278950327,0.9974640588,0.9619742602
,7,-0.5487621183,-0.416676808,-0.5557771818,0.7593031556,1.012783433
,10,0.5487621183,0.638179645,0.4360587424,1.162944059,0.7946225293
,11,-0.5487621183,-0.4984184323,-0.4955903428,0.9082595458,0.9031059659
,13,0.5487621183,0.6192983037,0.4791933829,1.128536907,0.8732260609
,20,-0.5487621183,-0.4661479893,-0.4508955615,0.849453659,0.8216594157
,21,-0.5487621183,-0.4624341625,-0.5167555324,0.8426860147,0.9416749356
,23,0.5487621183,0.4933954874,0.5161221109,0.8991063177,0.9405206624
,26,-0.5487621183,-0.5230397846,-0.5543868038,0.9531266229,1.01024977
AE07,5,0.5487621183,0.5155195947,0.4018671441,0.939422707,0.7323157535
,10,0.5487621183,0.5837921233,0.3777659253,1.06383459,0.6883965069
,24,0.5487621183,0.5614019916,0.5311241397,1.023033429,0.9678586077
AE08,7,-0.5487621183,-0.5442504419,-0.5473936022,0.9917784479,0.9975061761
,10,0.5487621183,0.5125173473,0.4637680317,0.933951762,0.8451167023
,11,-0.5487621183,-0.5081792104,-0.4994376071,0.9260464479,0.910116771
,20,-0.5487621183,-0.5219726437,-0.5735646411,0.9511819901,1.045197221
,23,0.5487621183,0.5644836901,0.497937401,1.028649157,0.9073829707
AE09,5,0.5487621183,0.5341117708,0.5250735663,0.9733029176,0.9568327493
,7,-0.5487621183,-0.5652012739,-0.5071701859,1.029956798,0.9242077196
,10,0.5487621183,0.5483217628,0.4591221789,0.9991975477,0.8366506426
,11,-0.5487621183,-0.5807606245,-0.452151118,1.058310341,0.8239473953
,13,0.5487621183,0.5180603994,0.5346370003,0.9440527728,0.9742600346
,20,-0.5487621183,-0.6337871551,-0.4680627099,1.154939698,0.8529428222
,21,-0.5487621183,-0.5731518933,-0.4398435541,1.044445078,0.8015195283
,23,0.5487621183,0.5170499194,0.5739987825,0.9422113921,1.04598835
,24,0.5487621183,0.4993436365,0.546572344,0.90994553,0.996009611
AE10,7,-0.5487621183,-0.4956702093,-0.5273369664,0.9032515051,0.9609573053
,10,0.5487621183,0.4983091196,0.5215994264,0.9080603472,0.9505018824
,11,-0.5487621183,-0.4929429887,-0.5293872705,0.8982817368,0.9646935401
AE11,5,0.5487621183,0.5108278517,0.490927947,0.9308730226,0.8946097601
,7,-0.5487621183,-0.4942821804,-0.2777905964,0.9007221235,0.5062131425
,10,0.5487621183,0.4973671944,0.4525590975,0.9063438926,0.8246908496
,11,-0.5487621183,-0.5135419714,-0.4232609639,0.9358189174,0.7713013523
,13,0.5487621183,0.4909498544,0.4393778637,0.8946496816,0.8006709084
,20,-0.5487621183,-0.5061702345,-0.3934154589,0.922385525,0.7169143893
,21,-0.5487621183,-0.5334490237,-0.3626802599,0.9720952047,0.660906152
,23,0.5487621183,0.4836271583,0.4881964245,0.8813056554,0.8896321525
,24,0.5487621183,0.5234806083,0.4800259133,0.9539299286,0.8747431671
AE12,5,0.5487621183,0.3525913101,0.3323681406,0.642521228,0.6056688856
,11,-0.5487621183,-0.6658100688,-0.4033974874,1.213294516,0.7351044724
,13,0.5487621183,0.5004612127,0.3020141553,0.9119820703,0.5503553275
,24,0.5487621183,0.4613870074,0.06500402959,0.8407778016,0.1184557524
,26,-0.5487621183,-0.5030581428,-0.219732151,0.9167144124,0.4004142118
AE13,5,0.5498277602,0.5045919701,0.3713663931,0.917727344,0.6754231414
,10,0.5498277602,0.4761290557,0.3940308603,0.8659603791,0.7166441725
,11,-0.5498277602,-0.5172639771,-0.4998705852,0.9407745743,0.9091403188
,13,0.5498277602,0.508723239,0.6136794907,0.9252410951,1.116130423
,20,-0.5498277602,-0.550672257,-0.5079986407,1.00153593,0.9239232309
,21,-0.5498277602,-0.519010352,-0.517503163,0.9439507962,0.941209594
,26,-0.5498277602,-0.5182581071,-0.5106362047,0.9425826496,0.9287203041