subject,trial,target_freq,el_freq,ah_freq,el_freq_gain,ah_freq_gain,target_amp,el_amp,ah_amp,el_amp_gain,ah_amp_gain
AE01,1,0.2,0.2021573404,0.1839954373,1.010786702,0.9199771863,9,8.074711118,6.139172612,0.8971901242,0.6821302902
,2,0.1,0.1022194909,0.100746615,1.022194909,1.00746615,9,7.805855376,6.134567635,0.867317264,0.6816186261
,3,0.1,0.1004908698,0.09974828228,1.004908698,0.9974828228,9,7.928882279,6.509230225,0.8809869199,0.7232478028
,4,0.2,0.1961237478,0.2186033319,0.9806187391,1.093016659,9,8.004293287,8.8383249,0.8893659207,0.9820361
,6,0.1,0.1030833344,0.1080880488,1.030833344,1.080880488,9,7.794341324,12.34804975,0.8660379249,1.372005527
,8,0.2,0.1945206147,0.07201386417,0.9726030733,0.3600693209,9,7.751611936,10.23491783,0.8612902151,1.137213093
,9,0.1,0.1062627125,0.1137501619,1.062627125,1.137501619,9,7.613986381,11.29868787,0.8459984868,1.255409764
,14,0.2,0.199504692,0.127481695,0.99752346,0.637408475,9,7.849140473,8.794596428,0.8721267192,0.9771773809
,15,0.1,0.1016715778,0.09123478219,1.016715778,0.9123478219,9,7.85210441,5.853633386,0.8724560455,0.6504037096
,16,0.2,0.184035716,0.08779006246,0.9201785801,0.4389503123,9,7.765443937,12.66814542,0.8628271041,1.407571713
,18,0.1,0.1011277716,0.08957225122,1.011277716,0.8957225122,9,7.836213625,5.669973225,0.8706904028,0.6299970251
,19,0.2,0.1987172339,0.1956250454,0.9935861695,0.9781252268,9,7.739616249,6.712781102,0.859957361,0.7458645669
,22,0.2,0.1976972343,0.1249065067,0.9884861715,0.6245325334,9,7.904205648,9.743572812,0.878245072,1.082619201
,25,0.1,0.09741680083,0.08917474733,0.9741680083,0.8917474733,9,7.595993369,6.908873654,0.8439992632,0.7676526282
,27,0.2,0.1969827355,0.105739631,0.9849136776,0.528698155,9,7.782875162,11.01186266,0.8647639068,1.223540296
,29,0.1,0.09935941087,0.09573887753,0.9935941087,0.9573887753,9,7.171492262,5.9552004,0.7968324736,0.6616889334
AE02,1,0.2,0.2034849428,0.1976843656,1.017424714,0.9884218281,9,8.767535467,7.249835846,0.9741706074,0.8055373162
,2,0.1,0.1023716079,0.1010226029,1.023716079,1.010226029,9,8.176180535,6.914299153,0.9084645039,0.7682554614
,3,0.1,0.101318584,0.1005592539,1.01318584,1.005592539,9,8.594437621,7.363682613,0.9549375134,0.818186957
,4,0.2,0.1981583936,0.1871279416,0.990791968,0.9356397078,9,8.884306024,6.812290686,0.9871451138,0.7569211873
,8,0.2,0.1993602395,0.1949233655,0.9968011977,0.9746168277,9,8.864779367,6.752145586,0.9849754852,0.7502383985
,9,0.1,0.103463954,0.1061163635,1.03463954,1.061163635,9,8.343087105,5.773743205,0.9270096784,0.6415270227
,12,0.2,0.2125086309,0.207082018,1.062543155,1.03541009,9,9.131723661,7.049926494,1.014635962,0.783325166
,14,0.2,0.1995509222,0.1949899095,0.9977546108,0.9749495474,9,9.005901057,6.891225244,1.000655673,0.7656916938
,15,0.1,0.1038957403,0.109143732,1.038957403,1.09143732,9,8.809046759,5.75785738,0.9787829733,0.6397619311
,16,0.2,0.1901523094,0.1703464409,0.950761547,0.8517322046,9,9.141441305,7.559796064,1.015715701,0.8399773405
,17,0.1,0.1034287713,0.1045695466,1.034287713,1.045695466,9,8.994967002,6.378974782,0.999440778,0.7087749758
,18,0.1,0.1058318552,0.1099467569,1.058318552,1.099467569,9,8.365957774,5.741657991,0.9295508638,0.6379619991
,19,0.2,0.1982301914,0.2010526791,0.9911509572,1.005263395,9,9.058220851,6.960933644,1.006468983,0.7734370715
,22,0.2,0.1945221196,0.196176288,0.972610598,0.9808814401,9,9.230434988,7.051826293,1.025603888,0.7835362548
AE03,1,0.2,0.2024276798,0.200878794,1.012138399,1.00439397,9,8.452386254,9.170491037,0.9391540282,1.018943449
,2,0.1,0.1018890892,0.1038671589,1.018890892,1.038671589,9,8.569229991,9.450337289,0.9521366657,1.050037477
,3,0.1,0.09719933684,0.09954937607,0.9719933684,0.9954937607,9,8.43447124,9.303954865,0.9371634711,1.033772763
,4,0.2,0.1992569833,0.1945524196,0.9962849167,0.9727620979,9,8.515458698,9.381562242,0.9461620775,1.042395805
,6,0.1,0.1036022763,0.1030844516,1.036022763,1.030844516,9,7.76275605,8.247467661,0.86252845,0.9163852957
,8,0.2,0.1956320818,0.1876156649,0.9781604091,0.9380783243,9,7.930054846,8.620555975,0.8811172051,0.9578395528
,12,0.2,0.1567574558,0.1641779626,0.7837872792,0.8208898132,9,8.013024901,8.879947249,0.8903361001,0.9866608055
,14,0.2,0.2009577852,0.1983505322,1.004788926,0.9917526612,9,8.227905237,9.545735758,0.914211693,1.060637306
,15,0.1,0.1024538601,0.1046469434,1.024538601,1.046469434,9,7.875686412,8.301858493,0.875076268,0.9224287215
,16,0.2,0.1942406747,0.1891810695,0.9712033736,0.9459053475,9,8.613862609,9.660342827,0.9570958454,1.073371425
,17,0.1,0.1040624608,0.1047178688,1.040624608,1.047178688,9,7.724699386,8.700164329,0.8582999317,0.9666849255
,18,0.1,0.1032279997,0.1027123874,1.032279997,1.027123874,9,7.929396158,8.722808253,0.8810440176,0.969200917
,19,0.2,0.1916397046,0.188189836,0.9581985228,0.9409491798,9,8.12431577,9.092850824,0.9027017522,1.010316758
,22,0.2,0.2205079964,0.217547267,1.102539982,1.087736335,9,8.440305022,9.353433485,0.9378116692,1.039270387
,25,0.1,0.09400954298,0.09593844851,0.9400954298,0.9593844851,9,8.154205194,8.970647257,0.9060227993,0.9967385841
,27,0.2,0.2011372429,0.1973693758,1.005686214,0.9868468789,9,8.527780102,9.457828189,0.9475311224,1.050869799
,29,0.1,0.0914880465,0.09165664198,0.914880465,0.9165664198,9,7.449541893,8.327226415,0.827726877,0.9252473795
,30,0.2,0.1932954317,0.1919636898,0.9664771587,0.9598184492,9,8.554147897,9.564511647,0.9504608774,1.062723516
AE04,2,0.1,0.102115287,0.1039519876,1.02115287,1.039519876,9,8.263221758,8.135231404,0.9181357509,0.9039146005
,3,0.1,0.102637621,0.1033853122,1.02637621,1.033853122,9,8.241886699,8.286581778,0.9157651888,0.9207313087
,4,0.2,0.1971387917,0.1962614284,0.9856939583,0.9813071418,9,8.252031434,8.19455671,0.9168923815,0.9105063011
,6,0.1,0.1037771985,0.1037715854,1.037771985,1.037715854,9,8.115210304,7.895016124,0.9016900338,0.8772240138
,8,0.2,0.1971358741,0.1933331581,0.9856793703,0.9666657907,9,8.443539916,8.390610253,0.9381711017,0.9322900281
,9,0.1,0.1022051178,0.1028373934,1.022051178,1.028373934,9,8.142565309,7.883959955,0.9047294787,0.8759955505
,12,0.2,0.1978335816,0.1936532567,0.9891679082,0.9682662837,9,8.505041541,8.491863806,0.9450046157,0.9435404229
,14,0.2,0.2009246157,0.1973180858,1.004623079,0.9865904289,9,8.453777338,8.446095964,0.9393085931,0.9384551071
,15,0.1,0.1004525733,0.1005242943,1.004525733,1.005242943,9,8.05045067,7.895994648,0.8944945189,0.8773327387
,16,0.2,0.1951542088,0.1917688321,0.9757710442,0.9588441607,9,8.511884235,8.537204405,0.945764915,0.9485782672
,17,0.1,0.1037853799,0.1041841566,1.037853799,1.041841566,9,8.069313631,7.933503751,0.8965904035,0.8815004168
,18,0.1,0.1021484493,0.1034439268,1.021484493,1.034439268,9,8.093420542,7.886454414,0.8992689491,0.8762727126
,19,0.2,0.1982193007,0.1961836888,0.9910965037,0.9809184438,9,8.337019488,8.354424938,0.9263354986,0.9282694375
,22,0.2,0.1953978547,0.1935915164,0.9769892734,0.9679575821,9,8.429395358,8.427250086,0.9365994842,0.9363611207
,25,0.1,0.1002539752,0.1028675655,1.002539752,1.028675655,9,8.373682591,8.288676857,0.9304091768,0.9209640952
,27,0.2,0.1983067793,0.1958521732,0.9915338967,0.979260866,9,8.515195985,8.543396092,0.9461328872,0.9492662325
,28,0.1,0.1024759379,0.1045082624,1.024759379,1.045082624,9,8.029214929,7.928870204,0.8921349921,0.8809855782
,29,0.1,0.1015096716,0.1033464614,1.015096716,1.033464614,9,8.344041632,8.395717559,0.9271157368,0.9328575066
,30,0.2,0.1963125414,0.1939807875,0.981562707,0.9699039376,9,8.537572803,8.632381091,0.9486192004,0.9591534545
AE05,1,0.2,0.2012667305,0.2056198971,1.006333653,1.028099485,9,7.96594315,8.494577001,0.8851047944,0.943841889
,2,0.1,0.100796475,0.1124411024,1.00796475,1.124411024,9,7.958025072,8.595137886,0.884225008,0.9550153206
,3,0.1,0.100571016,0.1105715124,1.00571016,1.105715124,9,8.15840443,8.958706105,0.9064893811,0.9954117895
,4,0.2,0.1930939832,0.1919401718,0.965469916,0.9597008592,9,7.938687031,8.636777133,0.8820763368,0.9596419037
,6,0.1,0.1050474489,0.1019920137,1.050474489,1.019920137,9,8.241635098,7.305428822,0.9157372331,0.8117143135
,8,0.2,0.1993530809,0.1898527348,0.9967654047,0.9492636739,9,8.267060329,8.794093653,0.9185622588,0.977121517
,9,0.1,0.1042439248,0.1018944647,1.042439248,1.018944647,9,7.996862824,6.728929457,0.8885403138,0.7476588285
,12,0.2,0.1996009603,0.1857936232,0.9980048014,0.9289681161,9,8.33773471,8.837439882,0.9264149678,0.9819377647
,14,0.2,0.197443766,0.1635751954,0.9872188301,0.8178759771,9,8.286211885,8.785145493,0.9206902094,0.976127277
,15,0.1,0.1026992557,0.1039440815,1.026992557,1.039440815,9,8.014296797,6.834111065,0.8904774218,0.7593456739
,16,0.2,0.206818109,0.1901336184,1.034090545,0.950668092,9,8.203056243,8.041581393,0.9114506936,0.8935090437
,17,0.1,0.1033852609,0.1034775723,1.033852609,1.034775723,9,7.82564922,6.874221971,0.86951658,0.7638024412
,18,0.1,0.09960725475,0.09726383386,0.9960725475,0.9726383386,9,8.002368116,6.566979706,0.8891520129,0.7296644117
,19,0.2,0.2015610094,0.1716579346,1.007805047,0.858289673,9,8.691588812,8.987261772,0.9657320902,0.9985846413
,22,0.2,0.1989303501,0.1662573544,0.9946517506,0.8312867722,9,8.465695996,9.170559811,0.9406328884,1.01895109
,25,0.1,0.1009945423,0.1094567304,1.009945423,1.094567304,9,7.98365045,7.782107221,0.8870722722,0.8646785801
,27,0.2,0.2018350492,0.1986674078,1.009175246,0.993337039,9,9.269572615,9.876376454,1.029952513,1.097375162
,29,0.1,0.1049775556,0.107835343,1.049775556,1.07835343,9,8.333435083,9.049618095,0.9259372315,1.005513122
AE06,1,0.2,0.1983950801,0.196426657,0.9919754003,0.9821332849,9,8.348823869,7.941854136,0.9276470965,0.8824282374
,2,0.1,0.1012692706,0.1014633048,1.012692706,1.014633048,9,8.269320516,7.96485905,0.9188133906,0.8849843389
,3,0.1,0.1039197947,0.1024750042,1.039197947,1.024750042,9,8.26773563,8.121400761,0.9186372923,0.9023778623
,4,0.2,0.2046570037,0.1949050884,1.023285018,0.9745254422,9,8.237647844,8.204124735,0.9152942049,0.911569415
,6,0.1,0.1021277035,0.1038979699,1.021277035,1.038979699,9,8.288172905,7.603159961,0.9209081006,0.8447955513
,8,0.2,0.2053605049,0.1985671712,1.026802524,0.9928358561,9,8.31432793,8.300768948,0.9238142144,0.9223076609
,9,0.1,0.1029940588,0.1022036431,1.029940588,1.022036431,9,8.294340397,7.668852103,0.9215933774,0.8520946781
,12,0.2,0.2156027327,0.2113817959,1.078013664,1.056908979,9,8.06081958,7.850035925,0.89564662,0.8722262139
,14,0.2,0.1962922404,0.1936973782,0.9814612021,0.9684868912,9,8.318782544,8.260032436,0.9243091715,0.9177813817
,15,0.1,0.1010498048,0.1010328772,1.010498048,1.010328772,9,7.752409771,7.22202138,0.8613788634,0.80244682
,16,0.2,0.2073635912,0.2027604352,1.036817956,1.013802176,9,7.8008499,7.762173529,0.8667610999,0.8624637255
,17,0.1,0.103761366,0.101352438,1.03761366,1.01352438,9,7.765686941,7.501447374,0.8628541046,0.8334941527
,18,0.1,0.09606664997,0.09779991243,0.9606664997,0.9779991243,9,7.53533478,7.082285679,0.83725942,0.786920631
,19,0.2,0.1946518222,0.1963260436,0.9732591112,0.9816302182,9,8.242116058,8.233513558,0.9157906732,0.9148348398
,22,0.2,0.1946831632,0.1928794134,0.9734158161,0.9643970671,9,7.97955966,8.038193144,0.88661774,0.8931325716
,25,0.1,0.097594818,0.1028536753,0.97594818,1.028536753,9,7.402272362,8.391145875,0.8224747068,0.9323495417
,27,0.2,0.1968569909,0.197403705,0.9842849544,0.9870185251,9,7.779592628,7.661027286,0.8643991809,0.851225254
AE07,1,0.2,0.1931003304,0.1944534886,0.9655016521,0.9722674429,9,8.606068957,7.519696204,0.9562298841,0.8355218005
,4,0.2,0.1964242675,0.1957407952,0.9821213377,0.9787039758,9,8.541533393,7.597453015,0.9490592658,0.8441614461
,6,0.1,0.1009334342,0.1021570111,1.009334342,1.021570111,9,8.067691519,5.79370175,0.8964101688,0.6437446388
,8,0.2,0.1977532645,0.1933596883,0.9887663227,0.9667984414,9,8.641264395,7.488135631,0.9601404883,0.8320150701
,9,0.1,0.1014132395,0.1007666518,1.014132395,1.007666518,9,7.988550216,6.299566191,0.8876166907,0.699951799
,12,0.2,0.1943329567,0.1867037541,0.9716647837,0.9335187705,9,8.518524694,7.517210869,0.9465027438,0.8352456521
,14,0.2,0.1980762474,0.1964528269,0.9903812368,0.9822641347,9,8.168232132,7.290668191,0.907581348,0.8100742434
,16,0.2,0.1978932788,0.1835079266,0.989466394,0.9175396329,9,8.224573267,7.489803557,0.9138414742,0.8322003952
,17,0.1,0.1064583582,0.1020413103,1.064583582,1.020413103,9,7.304671825,7.022663878,0.8116302027,0.7802959865
,18,0.1,0.1030769241,0.09761901372,1.030769241,0.9761901372,9,8.369803029,6.406680853,0.9299781143,0.7118534282
,19,0.2,0.1927975041,0.2034485232,0.9639875207,1.017242616,9,8.662163076,7.416253747,0.962462564,0.8240281941
,22,0.2,0.1939714558,0.1878048785,0.9698572789,0.9390243924,9,8.448717405,7.642508932,0.9387463783,0.8491676591
,27,0.2,0.1957445397,0.1872413657,0.9787226983,0.9362068283,9,8.362140324,7.902983458,0.9291267027,0.8781092731
,28,0.1,0.103107193,0.1017487072,1.03107193,1.017487072,9,8.174743113,7.33701864,0.9083047903,0.8152242933
,29,0.1,0.101717252,0.101185407,1.01717252,1.01185407,9,8.083673884,8.076708487,0.8981859871,0.8974120541
,30,0.2,0.1940344785,0.1937420618,0.9701723924,0.9687103091,9,8.391552728,7.343571854,0.9323947475,0.8159524282
AE08,1,0.2,0.1913936582,0.1891347087,0.9569682912,0.9456735436,9,8.842197755,7.539725316,0.9824664172,0.8377472573
,2,0.1,0.102179969,0.1026451548,1.02179969,1.026451548,9,8.08086487,7.927778724,0.8978738745,0.8808643027
,3,0.1,0.1011147748,0.1027410025,1.011147748,1.027410025,9,8.47002639,8.074530716,0.9411140433,0.8971700796
,4,0.2,0.194531576,0.1937345188,0.9726578799,0.9686725942,9,8.519209548,7.952359356,0.9465788387,0.883595484
,6,0.1,0.1021426647,0.102511541,1.021426647,1.02511541,9,8.051045426,6.777979946,0.8945606029,0.7531088829
,8,0.2,0.1921972702,0.1856727896,0.9609863509,0.9283639479,9,8.399098612,7.835495886,0.9332331791,0.870610654
,9,0.1,0.103918489,0.1066419253,1.03918489,1.066419253,9,7.661920501,6.596874333,0.8513245001,0.732986037
,12,0.2,0.1925432994,0.1868241342,0.962716497,0.9341206708,9,8.618586441,7.983033276,0.9576207157,0.8870036973
,14,0.2,0.1972371321,0.1888051436,0.9861856605,0.9440257181,9,8.479448341,7.801735375,0.9421609268,0.8668594861
,15,0.1,0.1026891677,0.09983866553,1.026891677,0.9983866553,9,8.202220642,7.227795661,0.9113578491,0.8030884068
,16,0.2,0.1972012635,0.1960095158,0.9860063177,0.9800475792,9,8.689719435,8.172808589,0.9655243817,0.9080898433
,17,0.1,0.1056347242,0.1087496618,1.056347242,1.087496618,9,7.652310168,6.572576857,0.8502566854,0.7302863175
,18,0.1,0.1029920669,0.1002768588,1.029920669,1.002768588,9,8.414807087,7.391549373,0.9349785652,0.8212832637
,19,0.2,0.1957516564,0.1887397801,0.9787582818,0.9436989007,9,8.639231639,8.009181888,0.9599146265,0.8899090987
,25,0.1,0.09924795268,0.1008239667,0.9924795268,1.008239667,9,8.187315321,8.01487537,0.9097017024,0.8905417077
,27,0.2,0.1951108792,0.1976914754,0.9755543961,0.9884573772,9,8.714313498,8.115890296,0.9682570553,0.9017655884
,28,0.1,0.1037881641,0.1062860996,1.037881641,1.062860996,9,7.915295576,7.747820927,0.8794772862,0.8608689918
,29,0.1,0.1017114717,0.1040945953,1.017114717,1.040945953,9,8.03919773,7.686135765,0.8932441922,0.854015085
,30,0.2,0.2007948784,0.2007288,1.003974392,1.003644,9,8.392925518,7.942592727,0.9325472798,0.882510303
AE09,1,0.2,0.1995835916,0.1954042937,0.9979179578,0.9770214684,9,8.302010632,7.948881677,0.9224456258,0.8832090752
,2,0.1,0.1015844137,0.1026902791,1.015844137,1.026902791,9,8.22479338,7.952552296,0.9138659311,0.8836169218
,3,0.1,0.1017000281,0.1036332256,1.017000281,1.036332256,9,8.419471368,8.258802802,0.9354968186,0.9176447558
,4,0.2,0.1965235593,0.1953446734,0.9826177965,0.9767233669,9,8.399696304,7.932266987,0.9332995894,0.8813629986
,6,0.1,0.1011841132,0.1016790698,1.011841132,1.016790698,9,7.91478485,7.486311755,0.8794205388,0.8318124172
,8,0.2,0.1957062931,0.1945099785,0.9785314655,0.9725498926,9,8.530769711,8.204175694,0.9478633013,0.9115750771
,9,0.1,0.1025698016,0.1028244145,1.025698016,1.028244145,9,7.982763979,7.220262879,0.8869737754,0.802251431
,14,0.2,0.1963715199,0.1949235214,0.9818575997,0.9746176068,9,8.540426687,8.346446288,0.9489362986,0.9273829209
,18,0.1,0.1033415907,0.1025331077,1.033415907,1.025331077,9,7.970207942,7.346741012,0.8855786603,0.8163045569
,19,0.2,0.1954811581,0.1946313625,0.9774057905,0.9731568126,9,8.502997952,8.359975419,0.9447775503,0.9288861576
,22,0.2,0.1990539189,0.1969119708,0.9952695943,0.9845598542,9,8.577121126,8.340275584,0.9530134585,0.9266972871
,25,0.1,0.1006300712,0.1039455965,1.006300712,1.039455965,9,8.44772482,8.26275802,0.9386360911,0.9180842244
,28,0.1,0.1015026401,0.1104517026,1.015026401,1.104517026,9,8.299758958,7.776970747,0.9221954398,0.8641078607
,30,0.2,0.193750854,0.1801158737,0.9687542702,0.9005793686,9,8.171917865,8.227817771,0.9079908739,0.9142019746
AE10,4,0.2,0.1917630781,0.190671439,0.9588153904,0.953357195,9,8.013005071,8.5462568,0.8903338967,0.9495840889
,8,0.2,0.1932782551,0.1887895401,0.9663912756,0.9439477007,9,8.019263283,8.447683726,0.8910292537,0.9386315251
,12,0.2,0.1950597285,0.1428639715,0.9752986425,0.7143198575,9,8.190525506,11.22434121,0.9100583895,1.247149023
,27,0.2,0.2029903341,0.2008768567,1.01495167,1.004384284,9,7.942131119,8.555682668,0.8824590132,0.9506314075
AE11,1,0.2,0.1970410401,0.1940264192,0.9852052005,0.970132096,9,7.8183441,7.470026929,0.8687049,0.8300029921
,2,0.1,0.1024290818,0.102403268,1.024290818,1.02403268,9,7.67276919,7.287240587,0.8525299101,0.8096933986
,3,0.1,0.1007169362,0.1037185973,1.007169362,1.037185973,9,7.899338987,7.761725248,0.8777043319,0.8624139165
,4,0.2,0.1959345727,0.1935699132,0.9796728633,0.9678495661,9,8.163024627,7.86788647,0.9070027363,0.8742096078
,6,0.1,0.1026727665,0.1022386394,1.026727665,1.022386394,9,7.918215484,7.130281445,0.8798017204,0.7922534939
,8,0.2,0.1956110419,0.1915145094,0.9780552095,0.957572547,9,8.369426052,7.91761101,0.929936228,0.8797345566
,9,0.1,0.1023673689,0.1004795935,1.023673689,1.004795935,9,8.012340644,7.120181879,0.8902600715,0.7911313199
,14,0.2,0.1907518611,0.1917180398,0.9537593053,0.958590199,9,8.176581699,7.856730194,0.9085090777,0.8729700215
,15,0.1,0.1024265782,0.1007698469,1.024265782,1.007698469,9,7.93964212,7.212314384,0.8821824578,0.8013682649
,16,0.2,0.196429567,0.2293069754,0.9821478349,1.146534877,9,8.203528672,7.363862534,0.9115031858,0.8182069482
,17,0.1,0.1011450879,0.1023202432,1.011450879,1.023202432,9,8.012736786,7.577671973,0.8903040874,0.8419635526
,18,0.1,0.1031314166,0.1028320229,1.031314166,1.028320229,9,7.944573917,7.350387311,0.8827304352,0.8167097012
,19,0.2,0.1954006896,0.1872665801,0.977003448,0.9363329005,9,8.351171658,8.087197544,0.927907962,0.8985775049
,22,0.2,0.1985567524,0.1964927637,0.9927837622,0.9824638185,9,8.411759985,8.103753877,0.9346399984,0.9004170974
,25,0.1,0.1013013812,0.1022074548,1.013013812,1.022074548,9,8.208784094,7.492018735,0.9120871216,0.8324465262
,27,0.2,0.1960190788,0.1918192601,0.9800953942,0.9590963004,9,8.220728108,7.656550155,0.9134142343,0.850727795
,28,0.1,0.1017580857,0.1018324267,1.017580857,1.018324267,9,8.011473851,7.782655205,0.8901637612,0.8647394672
,29,0.1,0.1008178301,0.1011773133,1.008178301,1.011773133,9,8.308149995,7.13989258,0.9231277772,0.7933213977
,30,0.2,0.1968599821,0.2000987326,0.9842999107,1.000493663,9,8.347906665,7.388599767,0.927545185,0.8209555297
AE12,1,0.2,0.2064920344,0.18251035,1.032460172,0.9125517498,9,8.477216714,6.341337161,0.9419129682,0.7045930179
,2,0.1,0.1021424291,0.1078991844,1.021424291,1.078991844,9,9.087390794,5.402002436,1.009710088,0.6002224928
,3,0.1,0.1011799411,0.1078825662,1.011799411,1.078825662,9,9.211053167,5.466493984,1.023450352,0.6073882204
,4,0.2,0.1955803662,0.1835584101,0.977901831,0.9177920506,9,8.924320599,6.405065926,0.9915911777,0.7116739918
,8,0.2,0.1942063768,0.157881764,0.971031884,0.7894088201,9,8.373495837,5.886975935,0.9303884263,0.6541084372
,9,0.1,0.1043546018,0.09677064113,1.043546018,0.9677064113,9,8.810417694,6.434597595,0.9789352993,0.7149552884
,12,0.2,0.1921355028,0.1955859664,0.9606775141,0.9779298321,9,8.680571747,6.220210407,0.9645079719,0.6911344896
,14,0.2,0.1954689656,0.2000640119,0.9773448278,1.00032006,9,8.203743848,5.29766935,0.9115270942,0.5886299278
,15,0.1,0.1058008111,0.107741975,1.058008111,1.07741975,9,7.657993942,4.764750739,0.8508882158,0.5294167487
,16,0.2,0.1923761666,0.190743828,0.9618808328,0.9537191401,9,8.26466729,5.55643559,0.9182963655,0.6173817322
,17,0.1,0.1036929604,0.1067267784,1.036929604,1.067267784,9,7.832647285,5.327549698,0.8702941427,0.5919499664
,22,0.2,0.2002105935,0.1885215192,1.001052968,0.942607596,9,7.807977956,5.626089538,0.8675531062,0.6251210597
,30,0.2,0.1977922169,0.1962697284,0.9889610847,0.9813486418,9,7.524076892,5.549793835,0.8360085436,0.6166437594
AE13,1,0.2,0.2017922885,0.2010882987,1.008961443,1.005441494,9,8.136238862,7.681192503,0.9040265402,0.8534658336
,2,0.1,0.1006114082,0.1288150258,1.006114082,1.288150258,9,8.333905047,5.941253629,0.9259894497,0.6601392921
,3,0.1,0.1020458569,0.1049401275,1.020458569,1.049401275,9,8.457168412,6.986207438,0.9396853791,0.7762452709
,4,0.2,0.2005141995,0.1996077181,1.002570998,0.9980385904,9,8.322468764,8.124240314,0.9247187515,0.9026933682
,6,0.1,0.09981395311,0.1121362,0.9981395311,1.121362,9,8.204197218,7.66960621,0.9115774687,0.8521784678
,8,0.2,0.2017688076,0.1935270713,1.008844038,0.9676353563,9,8.316285578,8.373442389,0.9240317309,0.9303824876
,9,0.1,0.1020754576,0.1003707467,1.020754576,1.003707467,9,7.933592269,8.742818351,0.8815102522,0.9714242612
,12,0.2,0.2021598504,0.1974252327,1.010799252,0.9871261633,9,8.20110696,8.627401059,0.9112341067,0.9586001177
,14,0.2,0.2025053228,0.1838158348,1.012526614,0.9190791742,9,8.303586217,8.025890403,0.9226206908,0.8917656003
,15,0.1,0.09889289759,0.1106097632,0.9889289759,1.106097632,9,8.202163852,7.721947175,0.9113515391,0.8579941306
,16,0.2,0.1994064423,0.1950954924,0.9970322113,0.9754774619,9,8.353509781,8.446250436,0.9281677534,0.9384722707
,17,0.1,0.1022250599,0.114783907,1.022250599,1.14783907,9,7.787396491,7.843009503,0.8652662767,0.8714455003
,18,0.1,0.1021178583,0.1072208069,1.021178583,1.072208069,9,7.862733259,8.181699093,0.8736370287,0.909077677
,19,0.2,0.2026962627,0.1983620812,1.013481314,0.991810406,9,8.334066474,8.51559909,0.926007386,0.9461776767
,25,0.1,0.09955863743,0.1025775622,0.9955863743,1.025775622,9,8.628034775,7.298881213,0.9586705306,0.8109868015
,27,0.2,0.2017684991,0.1975028039,1.008842495,0.9875140195,9,8.333487451,7.96764984,0.9259430501,0.8852944267
,28,0.1,0.103216941,0.1122800284,1.03216941,1.122800284,9,8.542849354,6.720225451,0.9492054838,0.7466917168
,29,0.1,0.1050389159,0.1071677982,1.050389159,1.071677982,9,8.118805325,7.447183078,0.9020894806,0.8274647864
,30,0.2,0.2048221971,0.2011184698,1.024110986,1.005592349,9,8.41394196,8.339231487,0.93488244,0.9265812763